Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
AmatriceQuakes,3642,3674,1853,1958,0.9756747159090909,10
-33.1436--70.674896,5784,6099,3388,3629,0.9428453947368421,10
18.979361--155.667892,6448,6986,4610,5302,0.89990234375,10
37.0159--88.645897-minmag1,6667,7415,461,777,0.8701171875,10
39.5089--119.836601,7612,7626,3277,5174,0.850703125,10
36.956821--97.96302,6162,6521,4766,5255,0.9279891304347826,10
OklahomaQuakes,3612,3762,1734,1870,0.94921875,10
